Name,Country,Province,Population,Longitude,Latitude
Ciudad Juarez,MEX,Chihuahua,789522.0,,
Ciudad Madero,MEX,Tamaulipas,160331.0,,
Ciudad Obregon,MEX,Sonora,219980.0,,
Ciudad Santa Catarina,MEX,Nuevo Leon,162707.0,,
Ciudad Victoria,MEX,Tamaulipas,194996.0,-99.1,23.4
Cixi,TJ,Zhejiang,107329.0,,
Clearwater,USA,Florida,98669.0,,
Clermont Ferrand,F,Auvergne,136181.0,3.4,45.5
Cleveland,USA,Ohio,505616.0,,
Cluj Napoca,RO,Cluj,318000.0,,
Coatzacoalcos,MEX,Veracruz,198817.0,,
Cochabamba,BOL,Bolivia,304000.0,-66.0,-17.1
Cochin,IND,Kerala,582588.0,,
Codo,BR,Maranhao,104825.0,,
Coimbatore,IND,Tamil Nadu,816321.0,,
Coimbra,P,Coimbra,74616.0,,
Colatina,BR,Espirito Santo,103621.0,,
Colchester,GB,Essex,149100.0,,
Colima,MEX,Colima,106967.0,-103.4,19.1
Colombo,BR,Parana,153583.0,,
Colombo,CL,Sri Lanka,643000.0,79.8667,6.9
Colon,PA,Colon,140900.0,,
Colorado Springs,USA,Colorado,280430.0,-104.717,38.8167
Columbia,USA,South Carolina,110734.0,-81.1167,33.95
Columbus,USA,Georgia,178683.0,,
Columbus,USA,Ohio,632945.0,-83.0,39.5
Colwyn Bay,GB,Aberconwy and Colwyn,,,
Comayagua,HCA,Comayagua,44300.0,,
Comilla,BD,Bangladesh,156000.0,,
Comodoro Rivadavia,RA,Chubut,124104.0,,
Conakry,RG,Guinea,,-13.5,9.3
Concord,USA,California,111308.0,-121.983,37.9667
Concord,USA,New Hampshire,30400.0,-71.5,43.2
Concordia,RA,Entre Rios,116485.0,,
Constanta,RO,Constanta,316000.0,,
Constantine,DZ,Algeria,440842.0,,
Contagem,BR,Minas Gerais,491268.0,,
Copenhagen,DK,Denmark,1358540.0,12.55,55.6833
Coral Springs,USA,Florida,78864.0,,
Cordoba,E,Andalusia,315948.0,,
Cordoba,MEX,Veracruz,130695.0,,
Cordoba,RA,Cordoba,1208713.0,-64.25,-31.3667
Coro,YV,Falcon,,,
Corona,USA,California,75943.0,,
Corpus Christi,USA,Texas,257453.0,-97.5,27.7667
Corrientes,RA,Corrientes,258103.0,-58.4,-27.3
Corum,TR,Corum,,,
Cosenza,I,Calabria,104483.0,,
Costa Mesa,USA,California,96357.0,,
Cotia,BR,Sao Paulo,127047.0,,
Cottbus,D,Brandenburg,125643.0,,
Coventry,GB,West Midlands,302500.0,,
Craiova,RO,Dolj,300000.0,,
Crewe,GB,Cheshire,109500.0,,
Criciuma,BR,Santa Catarina,159033.0,,
Cuautla,MEX,Jalisco,110242.0,,
Cucuta,CO,Norte de Santander,479309.0,,
Cuernavaca,MEX,Morelos,279187.0,-99.2,19.0
Cuiaba,BR,Mato Grosso,433101.0,-56.0,-15.3
Culiacan,MEX,Sinaloa,415046.0,-107.4,24.5
Cumana,YV,Sucre,212432.0,,
Curitiba,BR,Parana,1465698.0,-49.2833,-25.4167
Cuttack,IND,Orissa,403418.0,,
Cuzco,PE,Cuzco,255568.0,-72.0,-13.2
Cwmbran,GB,Monmouthshire,,,
Czestochowa,PL,Czestochowskie,258000.0,,
Da Nang,VN,Vietnam,369734.0,108.217,16.0667
Daan,TJ,Jilin,138963.0,,
Dabrowa Gornicza,PL,Katowickie,136000.0,,
Dahuk,IRQ,Dahuk,,,
Dakar,SN,Dakar,1382000.0,-17.4833,14.7
Dalian,TJ,Liaoning,2400000.0,,
Dallas,USA,Texas,1007618.0,-96.85,32.85
Daman,IND,Daman and Diu,,,
Damanhur,ET,El Buhayra,226000.0,,
Damascus,SYR,Syria,1500000.0,36.3333,33.5
Dandong,TJ,Liaoning,523699.0,,
Danli,HCA,El Paraiso,35500.0,,
Danyang,TJ,Jiangsu,169603.0,,
Daqing,TJ,Heilongjiang,657297.0,,
Dar es Salaam,EAT,Daressalam,1360850.0,39.3,-6.83333
Darlington,GB,Durham,100200.0,,
Darmstadt,D,Hessen,139063.0,,
Darwin,AUS,Northern Territory,68500.0,130.85,-12.4667
Datong,TJ,Shanxi,1110000.0,,
Davao,RP,Philippines,1007000.0,,
David,PA,Chiriqui,102700.0,,
Daxian,TJ,Sichuan,188101.0,,
Dayton,USA,Ohio,182005.0,-84.2167,39.9
Deba Habe,WAN,Nigeria,122000.0,,
Debrecen,H,Debrecen (munic.),216000.0,,
Debrezit,ETH,Ethiopia,105963.0,,
Dededo,GUAM,Guam,46000.0,144.8,13.5
Delemont,CH,JU,,,
Delgado,ES,El Salvador,104790.0,,
Denizli,TR,Denizli,234500.0,,
Denver,USA,Colorado,467610.0,-104.867,39.75
Dera Ghazi Khan,PK,Pakistan,102007.0,,
Derby,GB,Derbyshire,230500.0,,
Des Moines,USA,Iowa,193189.0,-93.65,41.5333
Dese,ETH,Ethiopia,117268.0,,
Detroit,USA,Michigan,1027974.0,-83.0167,42.4167
Deva,RO,Hunedoara,,,
Deyang,TJ,Sichuan,182488.0,,
Dezful,IR,Khuzestan,181309.0,,
Dezhou,TJ,Shandong,195485.0,,
Dhaka,BD,Bangladesh,3839000.0,90.5,24.0
Diadema,BR,Sao Paulo,323221.0,,
Dijon,F,Bourgogne,146703.0,5.2,47.2
Dili,TL,Timor-Leste,59069.0,125.6,-8.6
Dimitrovgrad,R,Ulyanovskaya oblast,135000.0,,
Dinajpur,BD,Bangladesh,138000.0,,
Diourbel,SN,Diourbel,,,
Dire Dawa,ETH,Ethiopia,194587.0,,
Dispur,IND,Assam,,91.5,26.0
Divinopolis,BR,Minas Gerais,171562.0,,
Diwaniyah,IRQ,Al Qadisiyah,196519.0,,
Diyarbakir,TR,Diyarbakir,448300.0,,
Djibouti,DJI,Djibouti,,43.1,11.5
Dniprodzerzhynsk,UA,Dnipropetrovska,284000.0,,
Dnipropetrovsk,UA,Dnipropetrovska,1187000.0,,
Dodoma,EAT,Dodoma,203833.0,,
Doha,Q,Qatar,217294.0,51.0,25.0
Doncaster,GB,South Yorkshire,292500.0,,
Donetsk,UA,Donetska,1117000.0,,
Dongguan,TJ,Guangdong,308669.0,,
Dongtai,TJ,Jiangsu,192247.0,,
Dongying,TJ,Shandong,281728.0,,
Donostia,E,Basque Country,177929.0,,
Dorchester,GB,Dorset,,,
Dordrecht,NL,Zuid Holland,213963.0,,
Dortmund,D,Nordrhein Westfalen,600918.0,,
Dosquebradas,CO,Risaralda,163599.0,,
Douala,CAM,Cote/Littoral,884000.0,10.0,3.5
Douglas,GBM,Man,,-4.6,54.15
Dourados,BR,Mato Grosso do Sul,153165.0,,
Dover,GB,Kent,106100.0,,
Dover,USA,Delaware,23512.0,-75.4667,39.1333
Drammen,N,Buskerud,50855.0,10.1,59.4
Dresden,D,Sachsen,474443.0,13.7,51.05
Drobeta Turnu Severin,RO,Mehedinti,,,
Dubai,UAE,Dubayy,585189.0,55.0,25.0
Dublin,IRL,Ireland,502337.0,-6.35,53.3667
Dudley,GB,West Midlands,312200.0,,
Duisburg,D,Nordrhein Westfalen,536106.0,,
Dukou,TJ,Sichuan,415466.0,,
Dumfries,GB,Dumfries and Galloway,,,
Dumyat,ET,Dumyat,121000.0,,
Dundee,GB,Tayside,167600.0,,
Dunhua,TJ,Jilin,235100.0,,
Duque de Caxias,BR,Rio de Janeiro,712370.0,,
Durango,MEX,Durango,182600.0,-104.4,24.0
Durban,RSA,Kwazulu Natal,716000.0,,
Durgapur,IND,West Bengal,425836.0,,
Durham,GB,Durham,,,
Durham,USA,North Carolina,138894.0,-78.7833,35.8667
Durres,AL,Albania,60000.0,19.3,41.3
Dushanbe,TAD,Dushanbe (munic.),582400.0,68.48,38.3
Dusseldorf,D,Nordrhein Westfalen,572638.0,6.8,51.2
Duyun,TJ,Guizhou,132971.0,,
Dzerzhinsk,R,Nizhegorodskaya oblast,285000.0,,
Dzhambul,KAZ,Zhambyl,130600.0,,
East London,RSA,Eastern Cape,102000.0,,
East York,CDN,Ontario,102696.0,,
Eastleigh,GB,Hampshire,109600.0,,
Ebbw Vale,GB,Blaenau Gwent,,,
Ebolowa,CAM,Sud,,,
Echeng,TJ,Hubei,190123.0,,
Ede,WAN,Nigeria,271000.0,,
Edinburgh,GB,Lothian,447600.0,-3.18333,55.9167
Edirne,TR,Edirne,115500.0,,
Edmonton,CDN,Alberta,616741.0,-113.517,53.5667
Effon Alaiye,WAN,Nigeria,135000.0,,
Eger,H,Heves,,,
Eindhoven,NL,Noord Brabant,395612.0,,
Eisenstadt,A,Burgenland,10102.0,16.0,48.0
Ekibastuz,KAZ,Pavlodar,141100.0,,
El Aaiun,WSA,Western Sahara,,-13.2,27.05
El Arish,ET,Sina ash Shamaliyah,,,
El Faiyum,ET,El Faiyum,227000.0,,
El Giza,ET,El Giza,1671000.0,,
El Kharga,ET,El Wadi el Jadid,,,
El Mahalla el Kubra,ET,El Gharbiya,385000.0,,
El Mansura,ET,El Daqahliya,358000.0,,
El Minya,ET,El Minya,203000.0,,
El Monte,USA,California,106162.0,,
El Paso,USA,Texas,515342.0,,
El Porvenir,PA,Comarca de San Blas,,,
El Progreso,HCA,Yoro,70000.0,,
El Suweiz,ET,El Suweiz,265000.0,,
El Tur,ET,Sina al Janubiyah,,,
El Uqsur,ET,Qena,148000.0,,
Elazig,TR,Elazig,222800.0,,
Elbasan,AL,Albania,53000.0,20.1,41.1
Elblag,PL,Elblaskie,125000.0,,
Eldoret,EAK,Rift Valley,104900.0,,
Elektrostal,R,Moskovskaya oblast,150000.0,,
Elista,R,Rep. of Kalmykiya,,,
Elizabeth,USA,New Jersey,110002.0,,
Elmbridge,GB,Surrey,117300.0,,
Elx,E,Valencia,191305.0,,
Embu,BR,Sao Paulo,195676.0,,
Embu,EAK,Eastern,,,
Engels,R,Saratovskaya oblast,186000.0,,
Enschede,NL,Overijssel,254480.0,,
Ensenada,MEX,Baja California,169426.0,,
Enugu,WAN,Nigeria,279000.0,,
Envigado,CO,Antioquia,109240.0,,
Epping Forest,GB,Essex,118200.0,,
Erfurt,D,Thuringen,213472.0,11.0,51.0
Erie,USA,Pennsylvania,108718.0,-80.1833,42.0833
Erlangen,D,Bayern,101450.0,,
Ermoupoli,GR,Notion Aiyaion,,,
Erzincan,TR,Erzincan,,,
Erzurum,TR,Erzurum,250100.0,41.3,49.9
Esbjerg,DK,Denmark,70975.0,8.3,55.3
Escondido,USA,California,108648.0,-117.083,33.1167
Esfahan,IR,Esfahan,1220595.0,51.4,32.4
Eskisehir,TR,Eskisehir,451000.0,,
Espoo,SF,Uusimaa,160480.0,24.3,60.2
Essen,D,Nordrhein Westfalen,617955.0,,
Etobicoke,CDN,Ontario,309993.0,,
Eugene,USA,Oregon,112733.0,-123.217,44.1167
Evansville,USA,Indiana,126272.0,-87.5333,38.05
Evora,P,Evora,,,
Exeter,GB,Devon,105100.0,,
Falun,S,Dalarna,51900.0,15.3,60.3
Fareham,GB,Hampshire,101000.0,,
Farghona,UZB,Farghona,191000.0,,
Faridabad,IND,Uttar Pradesh,617717.0,,
Faro,P,Algarve,,,
Fatick,SN,Fatick,,,
Feira de Santana,BR,Bahia,449960.0,,
Fengcheng,TJ,Liaoning,193784.0,,
Fengshan,RC,Taiwan,301374.0,,
Fengyuan,RC,Taiwan,157548.0,,
Ferrara,I,Emilia Romagna,140600.0,,
Ferraz de Vasconcelos,BR,Sao Paulo,121992.0,,
Fes,MA,Morocco,774754.0,,
Fianarantsoa,RM,Fianarantsoa,300000.0,,
Firenze,I,Toscana,408403.0,11.17,43.48
Flint,USA,Michigan,140925.0,-83.7333,42.9667
Florencia,CO,Caqueta,118027.0,,
Florianopolis,BR,Santa Catarina,268551.0,-58.3,-27.3
Floridablanca,CO,Santander del Sur,246834.0,,
Flying Fish Cove,XMAS,Christmas Island,,105.43,-10.25
Focsani,RO,Vrancea,,,
Foggia,I,Puglia,159541.0,,
Fontana,USA,California,87535.0,,
Forli,I,Emilia Romagna,109755.0,,
Formosa,RA,Formosa,148074.0,-58.1,-26.5
Fort Collins,USA,Colorado,87491.0,-105.083,40.75
Fort Lauderdale,USA,Florida,149238.0,,
Fort Wayne,USA,Indiana,191839.0,-85.2,41.0
Fort Worth,USA,Texas,447619.0,-97.1,32.4
Fort-de-France,MART,Martinique,100000.0,-61.0,14.6
Fortaleza,BR,Ceara,1967365.0,-38.55,-3.76667
Foshan,TJ,Guangdong,303160.0,,
Foz do Iguacu,BR,Parana,231596.0,,
Franca,BR,Sao Paulo,266909.0,,
Francisco Morato,BR,Sao Paulo,106328.0,,
Frankfort,USA,Kentucky,25973.0,-84.5,38.1
Frankfurt am Main,D,Hessen,652412.0,,
Frauenfeld,CH,TG,,,
Fredericton,CDN,New Brunswick,45248.0,-52.5,45.5
Freetown,WAL,Sierra Leone,,-13.1,8.2
Freiburg im Breisgau,D,Baden Wurttemberg,198496.0,,
Fremont,USA,California,173339.0,,
Fresno,USA,California,354091.0,,
Fribourg,CH,FR,,,
Fuenlabrada,E,Madrid,158212.0,,
Fukui,J,Fukui,,,
Fukuoka,J,Fukuoka,1273000.0,130.45,33.5833
Fukushima,J,Fukushima,,,
Fuling,TJ,Heilongjiang,173878.0,,
Fullerton,USA,California,114144.0,,
Funafuti,TUV,Tuvalu,2120.0,178.0,-8.0
Funchal,P,Madeira,44111.0,-15.9,31.0
Furth,D,Bayern,107799.0,,
Fushun,TJ,Liaoning,1350000.0,,
Fuxin,TJ,Liaoning,635473.0,,
Fuyang,TJ,Anhui,179572.0,,
Fuyu,TJ,Jilin,192981.0,,
Fuzhou,TJ,Fujian,874809.0,119.0,26.0
Fuzhou,TJ,Jiangxi,1290000.0,,
Gaborone,RB,Botswana,,25.6,-24.5
Galati,RO,Galati,307000.0,,
Gandhinagar,IND,Gujarat,,72.2,23.2
Gangtok,IND,Sikkim,,88.3,27.3
Ganzhou,TJ,Jiangxi,220129.0,,
Garanhuns,BR,Pernambuco,110190.0,,
Garden Grove,USA,California,142965.0,,
Garissa,EAK,North Eastern,,,
Garland,USA,Texas,180635.0,,
Garoua,CAM,Nord,177000.0,,
Gary,USA,Indiana,116646.0,,
Gateshead,GB,Tyne and Wear,202400.0,,
Gauhati,IND,Assam,584342.0,,
Gavle,S,Gavleborg,87431.0,17.0,60.4
Gaza,GAZA,Gaza Strip,409680.0,34.5,31.5
Gaziantep,TR,Gaziantep,716000.0,,
Gazipur,BD,Bangladesh,104000.0,,
Gdansk,PL,Gdanskie,465000.0,,
Gdynia,PL,Gdanskie,251000.0,,
Gebze,TR,Kocaeli,237300.0,,
Geelong,AUS,Victoria,151000.0,,
Gejiu,TJ,Yunnan,214294.0,,
Geleen,NL,Limburg,186011.0,,
Gelsenkirchen,D,Nordrhein Westfalen,293542.0,,
General San Martin,RA,Buenos Aires,407506.0,,
Geneva,CH,GE,167697.0,6.9,46.12
Genua,I,Liguria,701032.0,8.58,44.25
George Town,CAYM,Cayman Islands,,-81.23,19.18
Georgetown,GUY,Guyana,170000.0,-58.2,6.83333
Gera,D,Thuringen,126035.0,,
Getafe,E,Madrid,144368.0,,
Ghaziabad,IND,Delhi,454156.0,,
Ghent,B,East Flanders,227483.0,3.75,51.054
Gibraltar,GBZ,Gibraltar,,-5.2,36.15
Gifu,J,Gifu,,,
Gijon,E,Asturias,269644.0,,
Giresun,TR,Giresun,,,
Giurgiu,RO,Giurgiu,,,
Glarus,CH,GL,,,
Glasgow,GB,Strathclyde,674800.0,-4.28333,55.8667
Glazov,R,Udmurt Republic,107000.0,,
Glendale,USA,Arizona,147864.0,,
Glendale,USA,California,180038.0,,
Glenrothes,GB,Fife,,,
Gliwice,PL,Katowickie,216000.0,,
Gloucester,CDN,Ontario,101677.0,,
Gloucester,GB,Gloucestershire,104800.0,,
Goiania,BR,Goias,998520.0,-49.2,-16.3
Gold Coast,AUS,Queensland,266000.0,,
Goma,ZRE,Kivu,109094.0,,
Gomez Palacio,MEX,Durango,164092.0,,
Gonbad e Kavus,IR,Mazandaran,102768.0,,
Gonder,ETH,Ethiopia,166593.0,,
Gongzhuling,TJ,Jilin,226569.0,,
Gorakhpur,IND,Uttar Pradesh,505566.0,,
Gorgan,IR,Mazandaran,162468.0,,
Gorno Altaysk,R,Rep. of Altay,,,
Gorontalo,RI,Indonesia,119780.0,,
Gorzow Wielkopolski,PL,Gorzowskie,123000.0,,
Gorzow Wielkopolskie,PL,Gorzowskie,,,
Goteborg,S,Goteborg och Bohus,449189.0,12.0,57.4
Gottingen,D,Niedersachsen,127519.0,,
Governador Valadares,BR,Minas Gerais,231077.0,,
Gracias,HCA,Lempira,,,
Granada,E,Andalusia,271180.0,,
Granada,NIC,Nicaragua,79418.0,-86.0,11.9
Grand Prairie,USA,Texas,99606.0,,
Grand Rapids,USA,Michigan,189126.0,-85.5167,42.8833
Grand Turk,TUCA,Turks and Caicos Islands,,-71.08,21.28
Gravatai,BR,Pernambuco,205657.0,,
Graz,A,Styria,238000.0,15.26,47.4
Green Bay,USA,Wisconsin,96466.0,-88.1333,44.4833
Greensboro,USA,North Carolina,183894.0,,
Grenoble,F,Rhone Alpes,150758.0,,
Groningen,NL,Groningen,210708.0,,
Grozny,R,Chechen Rep.,364000.0,,
Grudziadz,PL,Torunskie,101000.0,,
Guacara,YV,Carabobo,100766.0,,
Guadalajara,MEX,Jalisco,1650042.0,-103.333,20.6833
Guadalupe,MEX,Nuevo Leon,535332.0,,
Guanajuato,MEX,Guanajuato,36809.0,-101.2,21.0
Guanare,YV,Portuguesa,,,
Guangshui,TJ,Hubei,102770.0,,
Guangyuan,TJ,Sichuan,182241.0,,
Guangzhou,TJ,Guangdong,3580000.0,114.0,23.0
Guantanamo,C,Guantanamo,207796.0,,
Guarapuava,BR,Parana,149158.0,,
Guarda,P,Guarda,,,
Guarenas,YV,Miranda,134158.0,,
Guaruja,BR,Sao Paulo,226185.0,,
Guarulhos,BR,Sao Paulo,972766.0,,
Guatemala City,GCA,Guatemala,823301.0,-90.5167,14.6167
Guayaquil,EC,Ecuador,1300868.0,-80.0,-2.0
Guildford,GB,Surrey,126200.0,,
Guilin,TJ,Guangxi Zhuangzu,364130.0,,
Guixian,TJ,Guangxi Zhuangzu,114025.0,,
Guiyang,TJ,Guizhou,1530000.0,106.0,26.0
Gujranwala,PK,Pakistan,1663000.0,,
Gujrat,PK,Pakistan,155058.0,,
Guliston,UZB,Sirdare,,,
Gumushane,TR,Gumushane,,,
Guntur,IND,Andhra Pradesh,471051.0,,
Gusau,WAN,Nigeria,139000.0,,
Gwalior,IND,Madhya Pradesh,690765.0,,
Gyor,H,Gyor (munic.),130000.0,,
Haarlem,NL,Noord Holland,212631.0,,
Haeju,NOK,North Korea,195000.0,,
Haemeenlinna,SF,Haeme,42000.0,24.3,61.0
Hafnarfjoerdur,IS,Iceland,12000.0,-22.0,64.0
Hagen,D,Nordrhein Westfalen,213747.0,,
Haicheng,TJ,Liaoning,205560.0,,
Haifa,IL,Haifa,,,
Haikou,TJ,Hainan,280153.0,110.3,20.05
Hailar,TJ,Nei Monggol,180650.0,,
Haining,TJ,Zhejiang,100478.0,,
Haiphong,VN,Vietnam,1447523.0,,
Hakha,MYA,Chin,,,
Hakkari,TR,Hakkari,,,
Hakodate,J,Hokkaido,287691.0,140.7,41.8
Halifax,CDN,Nova Scotia,114455.0,-63.4,44.4
Halle,D,Sachsen Anhalt,290051.0,,
Halmstad,S,Halland,77601.0,13.0,56.4
Hamadan,IR,Hamadan,406070.0,48.3,34.5
Hamar,N,Hedmark,15685.0,11.5,60.5
Hamburg,D,Hamburg,1705872.0,9.96667,53.55
Hamhung Hungnam,NOK,North Korea,701000.0,,
Hami,TJ,Xinjiang Uygur,161315.0,,
Hamilton,BERM,Bermuda,,-64.47,32.17
Hamilton,CDN,Ontario,318499.0,-79.9,43.2667
Hamm,D,Nordrhein Westfalen,184020.0,,
Hammerfest,N,Finnmark,7089.0,23.4,70.4
Hampton,USA,Virginia,133811.0,,
Handan,TJ,Hebei,1110000.0,,
Hangzhou,TJ,Zhejiang,1340000.0,125.5,30.2
Hannover,D,Niedersachsen,525763.0,9.66667,52.4
Hanoi,VN,Vietnam,3056146.0,105.867,21.0333
Hanzhong,TJ,Shaanxi,169930.0,,
Haora,IND,West Bengal,950435.0,,
Harare,ZW,Zimbabwe,,31.2,-17.5
Harbin,TJ,Heilongjiang,2830000.0,126.4,45.4
Harer,ETH,Ethiopia,122932.0,,
Harnosand,S,Vasternorrland,27287.0,18.0,62.4
Harrisburg,USA,Pennsylvania,53264.0,-76.7667,40.2
Harrogate,GB,North Yorkshire,146500.0,,
Hartford,USA,Connecticut,139739.0,-72.4,41.3
Hasselt,B,Limburg,65348.0,5.2,50.9
Havana,C,Ciudad de la Habana,2241000.0,-82.35,23.1333
Havant,GB,Hampshire,117500.0,,
Haverfordwest,GB,Pembrokeshire,,,
Hayward,USA,California,114705.0,,
Hebi,TJ,Henan,212976.0,,
Heerlen,NL,Limburg,270952.0,,
Hefei,TJ,Anhui,1000000.0,117.0,32.0
Hegang,TJ,Heilongjiang,522747.0,,
Heidelberg,D,Baden Wurttemberg,138964.0,,
Heilbronn,D,Baden Wurttemberg,122253.0,,
Helena,USA,Montana,23938.0,-112.0,46.6
Helsingborg,S,Malmohus,114339.0,,
Helsinki,SF,Uusimaa,487428.0,24.95,60.1667
Helwan,ET,El Qahira,352000.0,,
Henderson,USA,Nevada,64948.0,,
Hengshui,TJ,Hebei,104269.0,,
Hengyang,TJ,Hunan,487148.0,,
Heredia,CR,Heredia,67400.0,,
Herisau,CH,AR,,,
Hermannsverk,N,Sogn og Fjordane,706.0,6.5,61.1
Hermosillo,MEX,Sonora,406417.0,-111.0,29.0
Herne,D,Nordrhein Westfalen,180029.0,,
Heroica Nogales,MEX,Sonora,105873.0,,
Hertford,GB,Hertfordshire,,,
Heyuan,TJ,Guangdong,120101.0,,
Heze,TJ,Shandong,189293.0,,
Hialeah,USA,Florida,188008.0,,
Hildesheim,D,Niedersachsen,106095.0,,
Hilo,USA,Hawaii,,-165.0,20.0
Hilversum,NL,Noord Holland,102023.0,,
Hiroshima,J,Hiroshima,1099000.0,132.3,34.3
Hobart,AUS,Tasmania,184000.0,147.14,-42.5
Hodmezovasarhely,H,Csongrad,,,
Hohhot,TJ,Nei Monggol,652534.0,113.0,41.0
Holguin,C,Holguin,242085.0,,
Hollywood,USA,Florida,121720.0,,
Homs,SYR,Syria,354508.0,36.0,35.0
Hong Gai,VN,Vietnam,129394.0,,
Hong Kong,HONX,Hong Kong,7055071.0,114.2,22.3
Honghu,TJ,Hubei,190772.0,,
Honiara,SLB,Solomon Islands,26000.0,160.0,-9.5
Honolulu,USA,Hawaii,377059.0,-157.917,21.3333
Horlivka,UA,Donetska,338000.0,,
Horsham,GB,West Sussex,112300.0,,
Hortolandia,BR,Sao Paulo,114885.0,,
Hospitalet de Llobregat,E,Catalonia,266242.0,,
Houston,USA,Texas,1637859.0,-95.35,29.9667
Hpa an,MYA,Kayin,,,
Hradec Kralove,CZ,Vychodocesky,164000.0,,
Hsinchu,RC,Taiwan,341128.0,,
Hsinchuang,RC,Taiwan,328758.0,,
Hsintien,RC,Taiwan,248822.0,,
Huadian,TJ,Jilin,175873.0,,
Huaian,TJ,Jiangsu,131149.0,,
Huaibei,TJ,Anhui,366549.0,,
Huaihua,TJ,Hunan,126785.0,,
Huainan,TJ,Anhui,1200000.0,,
Huaiyin,TJ,Jiangsu,239675.0,,
Hualien,RC,Taiwan,107824.0,,
Huambo,ANG,Huambo,,,
Huancavelica,PE,Huancavelica,,,
Huancayo,PE,Junin,258209.0,,
Huangshi,TJ,Hubei,457601.0,,
Huanuco,PE,Huanuco,118814.0,,
Huaraz,PE,Ancash,,,
Hubli,IND,Karnataka,648298.0,,
Huddersfield,GB,West Yorkshire,148500.0,,
Hue,VN,Vietnam,260489.0,,
Huelva,E,Andalusia,145049.0,,
Huichon,NOK,North Korea,163000.0,,
Huizhou,TJ,Guangdong,161023.0,,
Hull,GB,Humberside,,,
Hunjiang,TJ,Jilin,482043.0,,
Huntingdon,GB,Cambridgeshire,148800.0,,
Huntington Beach,USA,California,181519.0,,
Huntsville,USA,Alabama,159880.0,-86.5833,34.7
Hurghada,ET,El Bahr el Ahmar,,,
Huzhou,TJ,Zhejiang,218071.0,,
Hyderabad,IND,Andhra Pradesh,3145939.0,78.2,17.1
Hyderabad,PK,Pakistan,1107000.0,,
Iasi,RO,Iasi,330000.0,,
Ibadan,WAN,Nigeria,1263000.0,,
Ibague,CO,Tolima,346632.0,,
Ibirite,BR,Minas Gerais,106773.0,,
Ica,PE,Ica,161406.0,,
Ife,WAN,Nigeria,262000.0,,
Ijebu Ode,WAN,Nigeria,138000.0,,
Ikare,WAN,Nigeria,124000.0,,
Ikerre,WAN,Nigeria,216000.0,,
Ikire,WAN,Nigeria,109000.0,,
Ikirun,WAN,Nigeria,160000.0,,
Ikorodu,WAN,Nigeria,163000.0,,
Ila,WAN,Nigeria,233000.0,,
Ilam,IR,Ilam,116428.0,,
Ilawe Ekiti,WAN,Nigeria,163000.0,,
Ilesha,WAN,Nigeria,334000.0,,
Ilheus,BR,Bahia,242589.0,,
Ilobu,WAN,Nigeria,176000.0,,
Ilorin,WAN,Nigeria,420000.0,,
Imperatriz,BR,Maranhao,227731.0,,
Imphal,IND,Manipur,,94.0,24.5
Inchon,ROK,South Korea,2307618.0,,
Indaiatuba,BR,Sao Paulo,122159.0,,
Independence,USA,Missouri,112301.0,,
Indianapolis,USA,Indiana,731278.0,-86.2833,39.7333
Indore,IND,Madhya Pradesh,1091674.0,,
Inglewood,USA,California,109602.0,,
Ingolstadt,D,Bayern,110910.0,,
Inhambane,MOC,Inhambane,,,
Inisa,WAN,Nigeria,106000.0,,
Innsbruck,A,Tyrol,118000.0,11.22,47.17
Inverness,GB,Highland,,,
Ioannina,GR,Ipiros,,,
Ipatinga,BR,Minas Gerais,195736.0,,
Ipoh,MAL,Perak,382633.0,,
Ipswich,GB,Suffolk,114800.0,,
Iquitos,PE,Loreto,274759.0,-73.2,-3.4
Iraklion,GR,Kriti,102398.0,,
Irapuato,MEX,Guanajuato,265042.0,,
Iringa,EAT,Iringa,,,
Irkutsk,R,Irkutskaya oblast,585000.0,,
Irvine,USA,California,110330.0,,
Irving,USA,Texas,155037.0,,
Iseyin,WAN,Nigeria,192000.0,,
Iskenderun,TR,Hatay,156800.0,,
Islamabad,PK,Pakistan,204364.0,73.0,34.0
Islamshahr,IR,Tehran,239715.0,,
Ismailiya,ET,Ismailiya,236000.0,,
Isparta,TR,Isparta,120900.0,,
Istanbul,TR,Istanbul,7615500.0,28.8333,40.9667
Itaborai,BR,Rio de Janeiro,156631.0,,
Itabuna,BR,Bahia,183237.0,,
Itagui,CO,Antioquia,169374.0,,
Itaituba,BR,Para,104896.0,,
Itajai,BR,Santa Catarina,134797.0,,
Itanagar,IND,Arunachal Pradesh,,93.4,27.1
Itapecerica da Serra,BR,Minas Gerais,110362.0,,
Itapetininga,BR,Sao Paulo,111909.0,,
Itapevi,BR,Sao Paulo,133769.0,,
Itaquaquecetuba,BR,Sao Paulo,228533.0,,
Itu,BR,Sao Paulo,122544.0,,
Ivano Frankivsk,UA,Ivano Frankivska,220000.0,,
Ivanovo,R,Ivanovskaya oblast,474000.0,,
Iwo,WAN,Nigeria,320000.0,,
Izhevsk,R,Udmurt Republic,654000.0,,
Izmir,TR,Izmir,1985300.0,27.1667,38.4333
Izmit,TR,Kocaeli,275800.0,,
Jabalpur,IND,Madhya Pradesh,764586.0,,
Jaboatao dos Guararapes,BR,Pernambuco,528973.0,,
Jacarei,BR,Sao Paulo,168030.0,,
Jackson,USA,Mississippi,202062.0,-90.0833,32.3167
Jacksonville,USA,Florida,635230.0,-81.7,30.5
